frequency,magnitude_db,phase_deg
10.0,0.0,0.0
10.0,-4.594105,-86.539253
12.589254,-6.583939,-85.646454
15.848932,-8.567997,-84.526215
19.952623,-10.543524,-83.122696
25.118866,-12.504626,-81.368462
31.62278,-14.443357,-79.186577
39.810722,-16.347546,-76.491013
50.118732,-18.205673,-73.182625
63.095749,-19.973726,-69.228745
79.432846,-21.672558,-64.451241
100.000031,-23.150791,-59.245728
125.892586,-24.553402,-53.07058
158.48938,-25.644722,-47.060329
199.526306,-26.490297,-41.30925
251.188736,-27.320452,-34.301647
316.227875,-27.772564,-29.506956
398.10733,-27.936954,-27.367842
501.187439,-28.345678,-21.643805
630.957642,-28.228172,-23.088568
794.328613,-28.234962,-22.684704
1000.000488,-28.106272,-24.13377
1258.926025,-28.570005,-17.630808
1584.894043,-27.712822,-28.089565
1995.263428,-28.607845,-18.227917
2511.887939,-28.663443,-18.796021
3162.279541,-28.314098,-24.588253
3981.074219,-28.234138,-27.519733
5011.875488,-26.048491,-42.2197
6309.577637,-25.237597,-47.567627
7943.287598,-21.492565,-52.895454
10000.006836,-19.425648,-52.306091
12589.262695,-22.631998,-58.726913
15848.943359,-27.026957,-72.180489
19952.638672,-26.557308,-80.274925
25118.884766,-16.472815,-18.576483
31622.802734,-16.789005,-0.383723
40000.0,-37.304501,160.042358
