frequency,magnitude_db,phase_deg
10.0,0.0,0.0
10.0,29.498638,-0.248127
12.589254,29.499168,-0.312082
15.848932,29.499281,-0.392549
19.952623,29.499338,-0.493921
25.118866,29.498955,-0.621958
31.62278,29.497963,-0.784259
39.810722,29.496456,-0.990615
50.118732,29.494209,-1.252248
63.095749,29.490702,-1.578405
79.432846,29.48514,-1.974113
100.000031,29.476254,-2.462081
125.892586,29.462006,-3.114718
158.48938,29.439938,-3.903595
199.526306,29.405838,-4.855961
251.188736,29.35289,-6.034502
316.227875,29.270966,-7.513788
398.10733,29.149668,-9.196813
501.187439,28.976627,-11.00537
630.957642,28.72876,-13.184817
794.328613,28.408468,-15.248937
1000.000488,28.028568,-16.964212
1258.926025,27.593527,-18.652956
1584.894043,27.155674,-19.949423
1995.263428,26.751402,-21.092041
2511.887939,26.409317,-22.196081
3162.279541,26.145309,-23.797819
3981.074219,25.943119,-26.177677
5011.875488,25.788229,-29.791389
6309.577637,25.665176,-34.692772
7943.287598,25.562996,-41.537937
10000.006836,25.457499,-50.889637
12589.262695,25.28723,-62.354553
15848.943359,25.034096,-77.888718
19952.638672,24.643425,-97.992279
25118.884766,23.981569,-124.294449
31622.802734,22.603094,-158.259644
40000.0,18.53554,154.347519
