frequency,magnitude_db,phase_deg
10.0,0.0,0.0
10.0,40.485146,-2.718659
12.589254,40.476723,-3.416184
15.848932,40.462627,-4.290609
19.952623,40.440002,-5.385589
25.118866,40.405029,-6.755293
31.62278,40.350075,-8.465685
39.810722,40.264832,-10.593828
50.118732,40.133053,-13.21057
63.095749,39.932507,-16.332289
79.432846,39.636654,-19.848938
100.000031,39.213486,-23.633343
125.892586,38.622505,-27.898674
158.48938,37.841404,-32.197712
199.526306,36.893497,-35.463947
251.188736,35.76796,-38.393841
316.227875,34.543083,-40.033722
398.10733,33.300438,-40.142616
501.187439,32.129814,-38.724976
630.957642,31.052189,-36.627541
794.328613,30.154627,-33.735588
1000.000488,29.473238,-30.447197
1258.926025,28.94108,-27.70937
1584.894043,28.558273,-25.535837
1995.263428,28.289539,-24.212704
2511.887939,28.099939,-23.76083
3162.279541,27.982042,-24.440016
3981.074219,27.895622,-26.328243
5011.875488,27.823839,-29.692587
6309.577637,27.759193,-34.495792
7943.287598,27.696867,-41.309883
10000.006836,27.617266,-50.651123
12589.262695,27.464508,-62.124287
15848.943359,27.224329,-77.666908
19952.638672,26.843533,-97.771988
25118.884766,26.192017,-124.072914
31622.802734,24.825804,-158.049332
40000.0,20.775385,154.508514
