frequency,magnitude_db,phase_deg
100,54.10343931,-48.48460933
110.0694171,53.39440401,-53.18629925
121.1527659,52.63813992,-57.6036315
133.3521432,51.83373579,-61.72525167
146.7799268,50.98192829,-65.52989142
161.5598098,50.08513781,-68.99151563
177.827941,49.1473694,-72.08346089
195.7341781,48.17401219,-74.78172679
215.443469,47.17156225,-77.0674822
237.1373706,46.14729307,-78.92880149
261.0157216,45.10889948,-80.3616379
287.2984833,44.06414259,-81.37006099
316.227766,43.0205234,-81.96582358
348.0700588,41.98501011,-82.16736888
383.118685,40.96383898,-81.99843324
421.6965034,39.96239994,-81.48643195
464.1588834,38.98520866,-80.6608281
510.8969775,38.03595622,-79.55167088
562.3413252,37.11761866,-78.18845181
618.9658189,36.23260296,-76.59937121
681.2920691,35.38290397,-74.81104307
749.8942093,34.57024831,-72.84860613
825.4041853,33.79620571,-70.73615991
908.5175757,33.06225474,-68.49741085
1000,32.36979666,-66.15639651
1100.694171,31.72011878,-63.73815425
1211.527659,31.11431534,-61.26921405
1333.521432,30.55318007,-58.7778232
1467.799268,30.03708888,-56.29385236
1615.598098,29.5658928,-53.84838356
1778.27941,29.13883934,-51.47303451
1957.341781,28.75453574,-49.19911773
2154.43469,28.41095977,-47.05675925
2371.373706,28.10551519,-45.07410203
2610.157216,27.835122,-43.27669564
2872.984833,27.5963266,-41.68713335
3162.27766,27.38541595,-40.32495153
3480.700588,27.19852122,-39.20676622
3831.18685,27.03170024,-38.34659296
4216.965034,26.8809922,-37.75628221
4641.588834,26.74244174,-37.44600056
5108.969775,26.61209285,-37.42469302
5623.413252,26.48595469,-37.70046885
6189.658189,26.35994229,-38.28085802
6812.920691,26.22979613,-39.17288413
7498.942093,26.09098565,-40.38288962
8254.041853,25.93860453,-41.91602927
9085.175757,25.76727225,-43.77531852
10000,25.57106943,-45.96009125
11006.94171,25.34355962,-48.46370759
12115.27659,25.07799452,-51.27041896
13335.21432,24.76787088,-54.35158978
14677.99268,24.40810193,-57.66231544
16155.98098,23.99713151,-61.14144407
17782.7941,23.53138664,-64.56792826
19573.41781,23.04327978,-68.1712342
21544.3469,22.55343878,-71.88364509
23713.73706,22.09341786,-75.964164
26101.57216,21.6733031,-80.95966973
28729.84833,21.2438611,-87.48935693
31622.7766,20.65750596,-96.67475192
34807.00588,19.66134174,-108.8871003
38311.8685,17.842899,-125.0472114
42169.65034,14.48028676,-143.5867384
46415.88834,7.256188636,-163.9914512
50000,-78.15500102,-90.11469947
