frequency,magnitude_db,phase_deg
10.0,0.0,0.0
10.0,51.857117,-86.539818
12.589254,49.865219,-85.64624
15.848932,47.879684,-84.525047
19.952623,45.90414,-83.121025
25.118866,43.941177,-81.364891
31.62278,41.999836,-79.178673
39.810722,40.090809,-76.473534
50.118732,38.231171,-73.157684
63.095749,36.447483,-69.159081
79.432846,34.764942,-64.416779
100.000031,33.233643,-58.999081
125.892586,31.873873,-52.962299
158.48938,30.741146,-46.667572
199.526306,29.81966,-40.272221
251.188736,29.126234,-34.275928
316.227875,28.625681,-28.927025
398.10733,28.278481,-24.382763
501.187439,28.037607,-20.595592
630.957642,27.891537,-17.901361
794.328613,27.802631,-16.08025
1000.000488,27.770756,-15.394701
1258.926025,27.71476,-14.52049
1584.894043,27.725712,-15.188751
1995.263428,27.774508,-16.776649
2511.887939,27.714859,-17.463223
3162.279541,27.622314,-18.449762
3981.074219,28.070629,-25.531429
5011.875488,28.016079,-29.03554
6309.577637,27.984356,-34.007763
7943.287598,28.183556,-41.446365
10000.006836,29.479513,-49.840626
12589.262695,27.711363,-60.740578
15848.943359,28.588917,-71.485214
19952.638672,28.257532,-80.930832
25118.884766,26.025602,-120.978424
31622.802734,23.648453,-150.198883
40000.0,20.328434,153.476807
