frequency,magnitude_db,phase_deg
1.0,36.637199,-71.223221
1.047129,36.288296,-70.53389
1.096478,35.944611,-69.802055
1.148154,35.606247,-69.028473
1.202265,35.27372,-68.215424
1.258926,34.946648,-67.380783
1.318257,34.625381,-66.514091
1.380384,34.310707,-65.625916
1.44544,34.001904,-64.715675
1.513561,33.700176,-63.78178
1.584893,33.405487,-62.833374
1.659587,33.117443,-61.87373
1.737801,32.837406,-60.896648
1.819701,32.565048,-59.909576
1.905461,32.300316,-58.9174
1.995263,32.044083,-57.918034
2.089297,31.795626,-56.916225
2.187762,31.556229,-55.916805
2.290868,31.324818,-54.918285
2.398834,31.102604,-53.932629
2.511887,30.888718,-52.954739
2.630269,30.683563,-51.991325
2.754229,30.486526,-51.045296
2.884032,30.29837,-50.12273
3.019953,30.118187,-49.220928
3.162279,29.946299,-48.351093
3.311312,29.78196,-47.511852
3.46737,29.625864,-46.70702
3.630782,29.476576,-45.938599
3.801895,29.334059,-45.210201
3.981073,29.198359,-44.527058
4.168695,29.068296,-43.884609
4.36516,28.944866,-43.298477
4.570883,28.825993,-42.755123
4.786303,28.712084,-42.266239
5.011874,28.602591,-41.832623
5.248076,28.496733,-41.452332
5.495411,28.394831,-41.132927
5.754402,28.294712,-40.864441
6.025599,28.197441,-40.66169
6.309577,28.102127,-40.515804
6.606938,28.007753,-40.429718
6.918314,27.913776,-40.401993
7.244364,27.820503,-40.438778
7.58578,27.726192,-40.533283
7.943287,27.631285,-40.688995
8.317642,27.534676,-40.905354
8.709641,27.435863,-41.178513
9.120113,27.33498,-41.513416
9.549932,27.231035,-41.906342
10.000006,27.123096,-42.353271
10.471292,27.011366,-42.85815
10.964788,26.896843,-43.423134
11.481544,26.774141,-44.027363
12.022652,26.647743,-44.689598
12.589262,26.514055,-45.394482
13.182576,26.376358,-46.152061
13.803852,26.230078,-46.947605
14.454408,26.075966,-47.781822
15.135623,25.918436,-48.664722
15.848943,25.748217,-49.5686
16.595881,25.573662,-50.512852
17.378021,25.388187,-51.479324
18.197021,25.197498,-52.477386
19.054621,24.99332,-53.487114
19.952637,24.787537,-54.528713
20.892975,24.565353,-55.571102
21.87763,24.339931,-56.635166
22.908691,24.107468,-57.709923
23.988344,23.86272,-58.783932
25.118879,23.606819,-59.856361
26.302696,23.350657,-60.940216
27.542305,23.078852,-62.011509
28.840334,22.802814,-63.082081
30.199537,22.51445,-64.140335
31.622797,22.227894,-65.198151
33.113132,21.92128,-66.233376
34.673706,21.623436,-67.268555
36.307827,21.309597,-68.2808
38.018963,20.998032,-69.287354
39.810741,20.675142,-70.271408
41.686966,20.34296,-71.236641
43.651611,20.003971,-72.183434
45.708847,19.661182,-73.115036
47.863041,19.318535,-74.030022
50.118755,18.980486,-74.930557
52.480782,18.625166,-75.808578
54.954124,18.252552,-76.667953
57.544033,17.896109,-77.512794
60.256001,17.52956,-78.341316
63.095779,17.155218,-79.156906
66.069389,16.816309,-79.952499
69.183144,16.439522,-80.734634
72.443642,16.066841,-81.50415
75.857803,15.654333,-82.272903
79.432869,15.305119,-83.006973
83.176422,14.923825,-83.742714
87.096405,14.507748,-84.487961
91.201134,14.120768,-85.210152
95.499313,13.775433,-85.89286
100.000061,13.33205,-86.644302
104.712921,12.939042,-87.352417
109.647888,12.614847,-87.987038
114.815437,12.187843,-88.713493
120.226524,11.846781,-89.359428
125.892624,11.39426,-90.109993
131.82576,11.050525,-90.749374
138.038513,10.588956,-91.533096
144.544067,10.266949,-92.136261
151.356216,9.822673,-92.90593
158.48941,9.396235,-93.67334
165.958786,8.999471,-94.401344
173.780182,8.646093,-95.050278
181.970184,8.151237,-96.00174
190.546173,7.707644,-96.892609
199.526337,7.333262,-97.601624
208.929718,7.053547,-98.091049
218.776276,6.631226,-98.945969
229.086884,6.036444,-100.390594
239.883423,5.860129,-100.55629
251.188782,5.207396,-102.212639
263.026947,5.052732,-102.293526
275.423035,4.360772,-104.271072
288.40332,4.268754,-104.080437
301.995361,3.579383,-106.202614
316.227966,3.1279,-107.523521
331.131348,2.964996,-107.407661
346.737091,2.635673,-108.171478
363.078308,2.098761,-109.86467
380.189667,1.369571,-113.242538
398.107452,0.988655,-114.332077
416.86969,0.452465,-117.115997
436.516144,0.279976,-116.193588
457.088531,-0.021367,-116.818367
478.630463,-0.513452,-118.867584
501.187622,-1.161179,-123.410286
524.807861,-1.349649,-122.168633
549.541321,-1.657057,-122.75843
575.44043,-2.164498,-125.414131
602.56012,-2.771333,-131.071671
630.957886,-2.86238,-127.448914
660.694031,-3.530052,-139.663788
691.831604,-3.8982,-141.424988
724.436646,-4.144645,-145.971603
758.578308,-4.605209,-136.027069
794.329041,-5.040845,-147.403549
831.764648,-5.512962,-141.859497
870.964539,-4.914572,-159.886246
912.011841,-5.306022,-161.800278
954.993652,-5.31905,-165.4729
1000.001099,-4.818138,-169.561676
1047.129761,-7.325652,-162.016861
1096.479492,-6.010403,-173.330826
1148.155029,-8.107475,-167.941116
1202.265869,-5.285863,-178.125229
1258.92688,-6.477296,-180.738953
1318.258301,-7.389546,177.169678
1380.385864,-7.830788,174.688828
1445.441406,-7.658233,172.296341
1513.562988,-6.888023,172.150131
1584.89502,-5.807009,177.425873
1659.588867,-11.571474,165.113785
1737.802856,-8.10606,167.406342
1819.703003,-5.949967,-172.208038
1905.463013,-8.791965,166.80191
1995.264771,-15.038773,149.720154
2089.298828,-7.758407,-174.207947
2187.764404,-10.349206,169.141663
2290.870605,-14.526385,151.694092
2500.0,-22.960461,117.214867
