frequency,magnitude_db,phase_deg
10.0,0.0,0.0
10.0,39.990925,-2.056629
12.589254,39.986576,-2.585726
15.848932,39.980431,-3.24964
19.952623,39.969131,-4.084048
25.118866,39.950668,-5.133039
31.62278,39.921879,-6.453016
39.810722,39.876957,-8.113676
50.118732,39.806129,-10.190164
63.095749,39.696671,-12.727637
79.432846,39.529995,-15.700437
100.000031,39.280197,-19.117712
125.892586,38.911282,-23.297161
158.48938,38.387962,-27.927685
199.526306,37.688602,-32.303551
251.188736,36.781075,-36.920414
316.227875,35.681889,-40.963642
398.10733,34.436806,-43.821186
501.187439,33.116154,-45.130699
630.957642,31.755381,-45.621632
794.328613,30.463326,-44.633057
1000.000488,29.326641,-42.295601
1258.926025,28.336571,-39.844151
1584.894043,27.540283,-37.277668
1995.263428,26.928961,-35.167076
2511.887939,26.473,-33.782951
3162.279541,26.162775,-33.547485
3981.074219,25.933796,-34.725395
5011.875488,25.749769,-37.741978
6309.577637,25.589369,-42.466736
7943.287598,25.427568,-49.550877
10000.006836,25.234251,-59.651264
12589.262695,24.909315,-72.117569
15848.943359,24.406574,-88.97319
19952.638672,23.659584,-110.480408
25118.884766,22.422878,-137.962921
31622.802734,20.218147,-171.402908
40000.0,15.116992,144.703156
