frequency,magnitude_db,phase_deg
10.0,0.0,0.0
10.0,26.600605,-0.08632
12.589254,26.600555,-0.1086
15.848932,26.600227,-0.136619
19.952623,26.600037,-0.171937
25.118866,26.599926,-0.216553
31.62278,26.599825,-0.273137
39.810722,26.5998,-0.345149
50.118732,26.59977,-0.436531
63.095749,26.599751,-0.550556
79.432846,26.599659,-0.689241
100.000031,26.599468,-0.861574
125.892586,26.599216,-1.094059
158.48938,26.598711,-1.3761
199.526306,26.597916,-1.727643
251.188736,26.596725,-2.168291
316.227875,26.594828,-2.749004
398.10733,26.591845,-3.457843
501.187439,26.586849,-4.312515
630.957642,26.579681,-5.489945
794.328613,26.567822,-6.899865
1000.000488,26.548409,-8.583381
1258.926025,26.520199,-10.859348
1584.894043,26.475573,-13.625385
1995.263428,26.407606,-17.069681
2511.887939,26.300585,-21.09549
3162.279541,26.148357,-26.186298
3981.074219,25.926153,-32.373615
5011.875488,25.634916,-40.034557
6309.577637,25.227861,-49.027512
7943.287598,24.694504,-60.046394
10000.006836,24.046068,-73.833511
12589.262695,23.097954,-89.21814
15848.943359,21.80332,-108.146118
19952.638672,20.185425,-130.285538
25118.884766,17.954185,-156.720566
31622.802734,14.769063,173.438538
40000.0,8.888003,135.573334
