frequency,magnitude_db,phase_deg
10.0,0.0,0.0
10.0,25.828836,-0.063267
12.589254,25.83028,-0.079593
15.848932,25.830976,-0.100117
19.952623,25.830902,-0.125994
25.118866,25.830603,-0.158689
31.62278,25.830616,-0.200159
39.810722,25.830494,-0.252934
50.118732,25.830544,-0.319906
63.095749,25.830538,-0.403474
79.432846,25.830528,-0.505108
100.000031,25.830418,-0.631473
125.892586,25.830643,-0.801941
158.48938,25.830763,-1.008663
199.526306,25.830875,-1.266734
251.188736,25.831131,-1.589955
316.227875,25.831537,-2.01649
398.10733,25.832174,-2.537895
501.187439,25.832937,-3.16843
630.957642,25.834753,-4.039284
794.328613,25.837057,-5.087839
1000.000488,25.839617,-6.35425
1258.926025,25.845188,-8.083876
1584.894043,25.851881,-10.225309
1995.263428,25.85984,-12.960228
2511.887939,25.860861,-16.270052
3162.279541,25.855322,-20.661835
3981.074219,25.821154,-26.29439
5011.875488,25.747562,-33.576416
6309.577637,25.571598,-42.588585
7943.287598,25.260857,-53.988155
10000.006836,24.79834,-68.322098
12589.262695,24.000614,-84.488434
15848.943359,22.819586,-104.291412
19952.638672,21.277115,-127.277031
25118.884766,19.101229,-154.501892
31622.802734,15.953692,174.925751
40000.0,10.090496,136.349365
