frequency,magnitude_db,phase_deg
10.0,0.0,0.0
10.0,45.959133,-4.999043
12.589254,45.935936,-6.273229
15.848932,45.896877,-7.864466
19.952623,45.837143,-9.84109
25.118866,45.745026,-12.283594
31.62278,45.602036,-15.280423
39.810722,45.385178,-18.912189
50.118732,45.062378,-23.217451
63.095749,44.596706,-28.101593
79.432846,43.9524,-33.224552
100.000031,43.104858,-38.168129
125.892586,42.037827,-43.133457
158.48938,40.763474,-47.741745
199.526306,39.354595,-50.440552
251.188736,37.812866,-52.780334
316.227875,36.233261,-53.513531
398.10733,34.678608,-52.719368
501.187439,33.222843,-50.405643
630.957642,31.880512,-47.438652
794.328613,30.73015,-43.627811
1000.000488,29.823101,-39.253521
1258.926025,29.098089,-35.404541
1584.894043,28.559929,-32.109791
1995.263428,28.173788,-29.719769
2511.887939,27.898727,-28.311731
3162.279541,27.726171,-28.133886
3981.074219,27.603298,-29.296247
5011.875488,27.505035,-32.08403
6309.577637,27.425203,-36.402012
7943.287598,27.353554,-42.816963
10000.006836,27.266582,-51.858349
12589.262695,27.109398,-63.080292
15848.943359,26.866604,-78.414833
19952.638672,26.483921,-98.352524
25118.884766,25.828831,-124.512718
31622.802734,24.457489,-158.357651
40000.0,20.400229,154.328674
