frequency,magnitude_db,phase_deg
10,-4.593981811,-86.52130203
10.23292992,-4.793215491,-86.440484
10.47128548,-4.992413201,-86.35779854
10.71519305,-5.191573258,-86.27320322
10.96478196,-5.390693905,-86.18665469
11.22018454,-5.5897733,-86.0981087
11.48153621,-5.788809517,-86.00752003
11.74897555,-5.987800541,-85.91484251
12.02264435,-6.186744266,-85.82002899
12.30268771,-6.385638484,-85.72303133
12.58925412,-6.584480891,-85.62380038
12.88249552,-6.783269072,-85.52228598
13.18256739,-6.982000505,-85.41843691
13.48962883,-7.180672549,-85.31220092
13.80384265,-7.379282443,-85.20352468
14.12537545,-7.5778273,-85.09235377
14.45439771,-7.776304102,-84.97863269
14.79108388,-7.974709689,-84.86230483
15.13561248,-8.173040761,-84.74331243
15.48816619,-8.371293866,-84.62159662
15.84893192,-8.569465396,-84.49709739
16.21810097,-8.767551577,-84.36975353
16.59586907,-8.965548466,-84.23950271
16.98243652,-9.163451941,-84.10628139
17.37800829,-9.361257694,-83.97002484
17.7827941,-9.558961223,-83.83066715
18.19700859,-9.756557824,-83.6881412
18.62087137,-9.95404258,-83.54237866
19.05460718,-10.15141036,-83.39331
19.498446,-10.34865579,-83.24086446
19.95262315,-10.54577328,-83.08497009
20.41737945,-10.74275696,-82.92555369
20.89296131,-10.93960074,-82.76254088
21.3796209,-11.13629823,-82.59585607
21.87761624,-11.33284276,-82.42542246
22.38721139,-11.52922738,-82.25116208
22.90867653,-11.72544484,-82.07299576
23.44228815,-11.92148757,-81.8908432
23.98832919,-12.11734765,-81.70462293
24.54708916,-12.31301685,-81.51425238
25.11886432,-12.50848657,-81.31964787
25.70395783,-12.70374785,-81.12072467
26.30267992,-12.89879133,-80.91739698
26.91534804,-13.09360727,-80.70957806
27.54228703,-13.28818552,-80.49718015
28.18382931,-13.4825155,-80.28011464
28.84031503,-13.67658619,-80.05829202
29.51209227,-13.87038609,-79.83162199
30.1995172,-14.06390327,-79.60001352
30.90295433,-14.25712528,-79.36337491
31.6227766,-14.45003917,-79.12161384
32.35936569,-14.64263148,-78.87463751
33.11311215,-14.83488819,-78.62235267
33.88441561,-15.02679474,-78.36466575
34.67368505,-15.218336,-78.10148296
35.48133892,-15.40949623,-77.83271039
36.30780548,-15.6002591,-77.55825415
37.15352291,-15.79060765,-77.27802047
38.01893963,-15.98052428,-76.99191587
38.9045145,-16.16999072,-76.69984729
39.81071706,-16.35898805,-76.40172227
40.73802778,-16.54749665,-76.09744909
41.68693835,-16.73549617,-75.78693697
42.65795188,-16.92296556,-75.47009626
43.65158322,-17.10988305,-75.14683863
44.66835922,-17.29622608,-74.81707731
45.70881896,-17.48197136,-74.48072727
46.77351413,-17.66709482,-74.13770553
47.86300923,-17.8515716,-73.78793132
48.97788194,-18.03537605,-73.43132642
50.11872336,-18.21848171,-73.0678154
51.2861384,-18.40086132,-72.6973259
52.48074602,-18.58248682,-72.31978897
53.70317964,-18.76332932,-71.9351393
54.95408739,-18.94335912,-71.54331565
56.23413252,-19.12254572,-71.14426108
57.54399373,-19.3008578,-70.73792338
58.88436554,-19.47826326,-70.32425535
60.25595861,-19.65472919,-69.90321523
61.65950019,-19.83022193,-69.47476702
63.09573445,-20.00470704,-69.03888089
64.5654229,-20.17814939,-68.59553356
