frequency,magnitude_db,phase_deg
100.0,0.0,0.0
100.0,60.798248,-85.926941
104.712852,60.400612,-85.735703
109.64782,60.002739,-85.5355
114.815361,59.605751,-85.326241
120.22644,59.208714,-85.107216
125.89254,58.813011,-84.878433
131.825668,58.416561,-84.638664
138.038422,58.020206,-84.387489
144.543976,57.622574,-84.123848
151.356125,57.228085,-83.84967
158.489319,56.834774,-83.563522
165.958694,56.441597,-83.263885
173.78009,56.048096,-82.949989
181.970093,55.649258,-82.617424
190.546082,55.261467,-82.277786
199.526245,54.869747,-81.91925
208.929626,54.471504,-81.537872
218.776184,54.090496,-81.154732
229.086792,53.698204,-80.74276
239.883316,53.315155,-80.320114
251.188675,52.924824,-79.871651
263.026825,52.543381,-79.410927
275.422913,52.157043,-78.923607
288.403198,51.771969,-78.415833
301.995239,51.375309,-77.867111
316.227844,51.012897,-77.33712
331.131195,50.627403,-76.755371
346.736938,50.244164,-76.146835
363.078156,49.868256,-75.521492
380.189514,49.513229,-74.900314
398.1073,49.153397,-74.24308
416.869537,48.759762,-73.498108
436.515991,48.416103,-72.806618
457.088348,48.053001,-72.050751
478.630249,47.721653,-71.317184
501.187408,47.34478,-70.462936
524.807678,46.99564,-69.63324
549.541138,46.594765,-68.626236
575.440247,46.352711,-67.964401
602.559937,46.006859,-67.022072
630.957703,45.687847,-66.10321
660.693848,45.323761,-65.033859
691.831421,44.975945,-63.934708
724.436462,44.731232,-63.106491
758.578125,44.383102,-61.930553
794.328796,44.025303,-60.656048
831.764343,43.808056,-59.801331
870.964172,43.50172,-58.604752
912.011475,43.277645,-57.674202
954.993286,42.894211,-56.055336
1000.000732,42.821838,-55.60738
1047.129272,42.55703,-54.384071
1096.479004,42.072021,-52.153877
1148.154419,42.002293,-51.683502
1202.265259,41.77895,-50.4902
1258.92627,41.436199,-48.640053
1318.25769,41.419559,-48.384777
1380.385254,41.054974,-46.30024
1445.440796,40.842243,-44.93689
1513.562378,40.952126,-45.306896
1584.894409,40.615334,-43.220436
1659.588257,40.47089,-42.142433
1737.802246,40.216537,-40.34156
1819.702393,40.07822,-39.214069
1905.462402,39.747597,-36.669445
1995.264038,40.120197,-38.89336
2089.297852,39.630161,-35.378674
2187.763428,39.931892,-37.076672
2290.869629,39.311966,-32.376404
2398.834961,39.62635,-34.30275
2511.888672,39.053936,-29.634916
2630.270264,39.658752,-33.916565
2754.231201,39.495365,-32.500702
2884.03418,39.056461,-28.86721
3019.95459,38.939812,-27.559513
3162.280762,38.852261,-26.426636
3311.314453,39.548828,-31.177347
3467.371826,38.512936,-22.251976
3630.78418,38.668411,-23.537788
3801.897705,38.654831,-23.298958
3981.075684,39.456219,-28.915339
4168.698242,39.393227,-28.101831
4365.163086,39.462364,-28.083925
4570.886719,39.315983,-26.767286
4786.306152,38.573059,-20.731152
5011.87793,38.506027,-19.752092
5248.080566,38.83744,-22.28788
5495.415039,39.332325,-25.117601
5754.40625,39.599129,-26.10869
6025.603027,39.169346,-23.363358
6309.581055,39.96579,-26.894676
6606.942383,39.198997,-22.623774
6918.317871,38.94101,-20.540974
7244.368164,38.824928,-19.391344
7585.784668,38.539104,-16.520817
7943.291992,40.62677,-26.720007
8317.647461,38.597851,-16.368832
8709.646484,38.31115,-13.397247
9120.119141,39.419369,-20.669491
9549.9375,38.258465,-12.21264
10000.012695,41.709717,-26.265593
10471.298828,41.880013,-25.843512
10964.795898,37.900238,-7.44427
11481.550781,42.17662,-24.905996
12022.660156,41.483574,-23.753462
12589.270508,39.415367,-17.274996
13182.584961,40.892262,-21.501823
13803.861328,40.259247,-19.427307
14454.416992,42.661133,-22.004513
15135.632812,42.138058,-21.295645
15848.953125,43.781944,-19.799044
16595.890625,41.748093,-19.749519
17378.03125,41.117741,-18.584522
18197.033203,42.063766,-18.56031
19054.632812,44.025146,-16.405088
19952.650391,39.509186,-12.463461
20892.990234,43.421535,-15.663137
21877.646484,38.695568,-7.849701
22908.708984,43.029671,-14.431348
23988.363281,45.716011,-6.311218
25118.900391,39.147865,-8.581483
26302.71875,40.390057,-10.939342
27542.328125,38.975254,-6.750002
28840.357422,46.039413,-0.685221
30199.5625,40.066448,-8.193988
31622.824219,41.724434,-8.474212
33113.164062,47.918144,19.917974
34673.738281,44.491154,-1.839948
36307.863281,44.985661,1.250569
38019.0,38.538956,-2.600283
40000.0,38.275345,0.155879
