frequency,magnitude_db,phase_deg
1.0,36.639545,-71.079575
1.258925,34.96349,-66.9646
1.584893,33.433376,-62.314621
1.995262,32.082375,-57.348415
2.511887,30.942345,-52.429638
3.162278,30.016479,-48.009892
3.981072,29.268223,-44.359043
5.011873,28.644138,-41.510078
6.309575,28.108765,-39.736851
7.943284,27.672327,-40.583122
10.000002,27.151711,-42.001732
12.589257,26.540592,-44.937786
15.848936,25.747944,-48.043026
19.952629,24.788143,-53.616314
25.118872,23.63291,-58.521744
31.622787,22.237179,-63.026249
39.81073,20.672619,-68.42305
50.11874,18.981256,-72.157845
63.095757,17.517185,-79.180901
79.432854,15.464909,-80.01844
100.000038,14.208117,-84.308075
125.892593,12.251959,-89.39463
158.489395,10.607915,-90.880882
199.526337,9.572514,-92.130234
251.188782,9.067784,-92.790535
316.227936,7.910046,-90.82695
398.107391,7.424788,-88.376686
501.187531,7.454378,-81.904099
630.957703,-0.979644,-109.472603
794.328674,6.741855,-68.770126
1000.000549,13.151764,-35.591656
1258.926147,11.662485,-31.566124
1584.894165,16.224165,-1.838865
2500.0,-23.208521,111.474609
